utilization_gpu,gpu_temp,power_draw_w,gpu_mem_used,job_type_training,throttling,good_placement
72,66,193,8565,1,0,1
74,72,231,18914,0,0,1
21,44,122,13058,0,0,1
28,51,135,12768,0,0,1
8,49,135,7506,1,0,1
83,81,260,7314,0,0,1
46,72,197,5738,0,0,1
39,63,166,2500,0,0,1
2,44,106,2900,1,0,1
55,75,198,23198,1,0,0
80,75,245,23529,0,0,0
71,73,195,12671,0,0,1
50,70,188,9222,1,0,1
88,89,274,21233,0,0,1
95,86,260,6535,1,0,0
15,60,125,3194,0,0,1
95,89,250,6896,1,0,0
35,55,148,19141,0,0,1
43,65,193,19930,0,0,1
90,72,226,23507,1,0,0
26,55,158,5239,1,0,1
84,77,258,20746,1,0,0
5,49,90,15833,0,0,1
0,39,98,17488,0,0,1
83,68,209,22973,0,0,0
91,83,244,9348,0,0,1
18,50,120,19996,0,0,1
54,57,177,15904,0,0,1
3,41,115,16746,1,0,1
65,74,229,3521,1,0,1
87,82,221,8314,0,0,1
85,72,221,4795,1,0,1
47,64,168,13486,1,0,1
65,62,203,9400,0,0,1
62,63,179,1187,1,0,1
58,70,185,11332,1,0,1
55,66,192,11792,0,0,1
66,70,223,23692,1,0,0
62,77,182,12618,1,0,0
81,70,244,19413,1,0,1
43,68,161,22687,1,0,0
74,65,238,21541,1,0,1
9,48,95,23277,1,0,0
21,53,117,2100,1,0,1
82,75,249,13702,1,0,1
58,69,192,1442,1,0,1
76,67,240,7563,1,0,1
99,77,255,1180,0,0,1
54,68,202,19492,0,0,1
80,85,230,18070,0,0,1
7,42,127,5140,0,0,1
66,76,201,3760,1,0,0
49,71,189,20409,0,0,1
34,66,158,15042,1,0,1
64,61,213,23314,0,0,0
5,37,99,6478,0,0,1
83,84,237,18661,1,0,0
11,52,134,3490,0,0,1
24,53,158,2512,0,0,1
87,83,227,20634,1,0,0
15,58,115,7954,0,0,1
38,54,175,22164,1,0,0
70,72,198,5594,0,0,1
100,92,289,9787,0,0,1
15,55,115,14044,0,0,1
40,58,146,13235,0,0,1
49,54,165,8382,0,0,1
77,82,221,2727,1,0,0
78,85,256,6962,1,0,0
80,84,254,5272,0,0,1
88,82,238,19263,1,0,0
67,68,221,23723,1,0,0
8,51,91,9256,0,0,1
59,62,198,2440,0,0,1
8,50,112,5945,0,0,1
15,52,139,19139,0,0,1
82,85,263,4679,0,0,1
1,43,107,6346,0,0,1
52,62,178,5490,1,0,1
43,53,164,1383,1,0,1
92,72,265,6725,1,0,1
44,56,151,22233,0,0,0
98,91,256,6481,0,0,1
27,54,123,12144,0,0,1
55,67,196,21644,0,0,1
74,73,229,16727,0,0,1
46,57,173,13092,1,0,1
92,80,262,5455,0,0,1
91,72,253,2453,0,0,1
82,84,247,9255,1,0,0
90,84,237,21814,1,0,0
92,86,254,23998,1,0,0
21,62,149,13874,0,0,1
78,66,235,10896,0,0,1
0,41,115,22552,0,0,0
61,59,216,8162,0,0,1
76,80,253,17472,1,0,0
47,56,180,20371,0,0,1
92,75,270,7785,1,0,1
84,68,234,20731,1,0,1
45,63,150,14331,0,0,1
93,76,240,2866,1,0,0
90,76,246,23342,0,0,0
37,52,140,9493,1,0,1
93,87,245,12691,0,0,1
78,72,242,11806,0,0,1
76,75,245,23689,0,0,0
21,58,117,6183,0,0,1
92,81,228,5350,1,0,0
91,80,239,2968,1,0,0
26,54,118,21354,0,0,1
25,54,137,5244,1,0,1
12,48,101,1365,0,0,1
10,46,121,7267,1,0,1
80,70,210,21948,0,0,1
84,70,251,4415,1,0,1
41,57,177,2263,1,0,1
90,73,221,6475,0,0,1
75,68,242,3966,1,0,1
34,56,160,11516,1,0,1
1,47,108,20326,0,0,1
38,66,145,13511,1,0,1
98,76,282,22971,0,0,0
40,69,181,1513,0,0,1
7,52,86,3725,0,0,1
89,78,224,14001,1,0,0
66,65,212,12836,1,0,1
59,75,204,11062,0,0,1
2,47,84,12708,1,0,1
80,67,251,23380,0,0,0
83,84,254,18776,1,0,0
51,66,160,14930,1,0,1
28,61,141,17192,1,0,1
48,69,189,1697,1,0,1
17,51,121,8458,0,0,1
3,49,90,5465,0,0,1
84,82,253,18824,1,0,0
52,73,193,7838,0,0,1
16,52,141,18235,0,0,1
52,66,163,22569,0,0,0
52,57,187,12192,1,0,1
3,51,116,8803,0,0,1
26,47,126,8684,1,0,1
40,60,159,3112,0,0,1
61,66,191,21889,0,0,1
17,56,126,16185,0,0,1
66,73,224,22197,1,0,0
43,66,175,8459,0,0,1
61,59,186,6687,1,0,1
82,78,250,4027,0,0,1
51,74,194,12903,1,0,1
89,74,269,22221,0,0,0
78,76,223,12491,0,0,1
75,68,220,13630,1,0,1
92,78,247,7957,1,0,0
51,65,191,16301,1,0,1
20,61,142,2886,0,0,1
36,52,172,13811,0,0,1
47,68,160,19121,0,0,1
76,73,227,13965,1,0,1
49,70,168,2625,0,0,1
47,63,191,17649,0,0,1
44,57,165,19543,1,0,1
17,46,114,6351,0,0,1
39,58,167,16420,0,0,1
93,90,270,12937,1,0,0
62,69,185,7334,1,0,1
100,80,245,14711,0,0,1
85,72,215,3742,1,0,1
24,48,113,22635,0,0,0
52,73,165,8730,1,0,1
13,43,128,18409,0,0,1
24,53,149,10896,1,0,1
12,39,133,6568,1,0,1
43,62,178,6320,0,0,1
69,69,221,14030,0,0,1
8,56,122,19566,0,0,1
2,39,111,6760,0,0,1
5,51,113,8974,0,0,1
9,46,97,5260,0,0,1
75,76,239,23791,1,0,0
69,65,233,11149,1,0,1
4,44,107,6915,0,0,1
94,76,271,23434,1,0,0
0,48,113,20508,1,0,1
100,75,248,14705,0,0,1
54,60,190,14759,1,0,1
92,71,237,20233,0,0,1
12,57,142,10065,0,0,1
52,58,158,14729,0,0,1
73,73,199,20661,0,0,1
83,73,213,14913,0,0,1
10,54,131,2363,0,0,1
84,76,245,10241,1,0,0
64,63,208,3443,0,0,1
82,75,217,9011,0,0,1
26,55,137,11796,0,0,1
10,43,103,8788,0,0,1
88,83,242,23825,1,0,0
52,67,173,9503,0,0,1
51,67,188,20676,1,0,1
23,45,117,20870,1,0,1
19,42,146,1938,0,0,1
26,52,150,8335,1,0,1
78,78,229,9527,0,0,1
4,44,122,20753,0,0,1
90,73,241,10887,1,0,1
21,55,157,10203,1,0,1
69,72,201,5243,1,0,1
12,46,102,19811,1,0,1
18,42,99,6315,0,0,1
26,63,156,21110,0,0,1
7,53,108,3612,0,0,1
66,74,205,16184,0,0,1
100,90,289,15461,0,0,1
53,71,205,12986,1,0,1
54,66,211,12019,0,0,1
63,65,204,16354,0,0,1
52,56,189,5295,0,0,1
5,50,117,1971,0,0,1
61,62,212,17648,0,0,1
65,77,225,21005,1,0,0
89,85,232,22033,0,0,0
97,79,244,3014,1,0,0
92,88,263,3331,0,0,1
6,41,127,22586,1,0,0
45,61,156,17417,1,0,1
66,71,225,23824,0,0,0
1,42,87,14204,0,0,1
91,73,242,17443,1,0,1
53,62,163,5161,1,0,1
63,66,185,19434,1,0,1
82,86,254,2677,0,0,1
17,49,107,17175,1,0,1
93,86,259,3013,1,0,0
97,85,257,15850,0,0,1
69,76,203,5819,1,0,0
81,76,252,8484,1,0,0
26,57,121,22382,1,0,0
31,56,126,16574,0,0,1
35,65,157,19325,0,0,1
27,58,133,19329,0,0,1
45,64,160,17358,1,0,1
13,58,142,6803,0,0,1
16,43,127,17794,0,0,1
71,72,229,13406,0,0,1
89,70,265,18177,1,0,1
78,84,229,8695,1,0,0
79,78,243,6000,0,0,1
80,79,216,17724,0,0,1
84,73,259,14549,0,0,1
25,62,129,13785,1,0,1
93,81,248,23618,1,0,0
3,55,84,17262,1,0,1
56,67,179,16820,1,0,1
82,73,215,12984,0,0,1
43,70,198,19218,1,0,1
80,80,238,19456,0,0,1
53,60,196,3533,0,0,1
12,49,136,1748,1,0,1
54,59,173,23075,1,0,0
13,45,127,9004,0,0,1
35,60,178,16453,1,0,1
20,52,107,13682,1,0,1
81,82,239,14229,1,0,0
88,76,228,21742,0,0,1
44,59,183,17022,1,0,1
49,66,195,3459,0,0,1
2,48,101,13969,1,0,1
48,61,168,20354,1,0,1
79,73,249,13852,1,0,1
57,70,213,1837,1,0,1
33,63,134,3258,0,0,1
22,43,149,9384,1,0,1
47,65,182,3166,1,0,1
18,46,139,12225,0,0,1
54,62,163,3656,0,0,1
44,69,152,20852,0,0,1
11,42,105,6395,0,0,1
63,72,210,6635,0,0,1
89,72,233,13093,0,0,1
18,52,144,15868,1,0,1
53,63,193,13389,1,0,1
5,52,93,17846,0,0,1
32,55,144,3095,0,0,1
40,70,187,12439,1,0,1
84,74,232,21605,1,0,1
100,84,269,22551,0,0,0
41,62,171,13056,1,0,1
37,61,168,18270,0,0,1
46,66,154,4110,0,0,1
45,57,149,3364,1,0,1
45,72,173,9311,1,0,1
2,53,110,23201,0,0,0
86,71,225,8600,1,0,1
94,75,273,21134,0,0,1
32,52,171,4321,1,0,1
12,57,131,4341,0,0,1
15,56,137,3889,1,0,1
79,76,225,19349,0,0,1
93,80,269,16754,0,0,1
76,84,221,8788,0,0,1
53,70,198,22406,1,0,0
38,53,133,6553,0,0,1
31,58,140,1044,1,0,1
70,81,243,12343,1,0,0
9,46,93,20709,1,0,1
35,63,177,19282,1,0,1
98,84,259,6593,0,0,1
46,71,182,15471,1,0,1
95,90,253,8640,1,0,0
50,62,179,7871,0,0,1
67,71,234,3307,1,0,1
89,72,223,18232,1,0,1
91,74,260,20528,1,0,1
33,67,142,21657,1,0,1
75,75,214,1487,1,0,1
22,48,117,3813,1,0,1
17,44,116,14015,1,0,1
44,52,173,9155,1,0,1
40,54,179,13837,1,0,1
12,41,120,4280,1,0,1
66,68,211,18482,0,0,1
65,79,216,11614,0,0,1
16,46,146,19987,1,0,1
64,77,195,14304,0,0,1
60,63,195,11372,1,0,1
78,67,210,19061,1,0,1
7,42,103,6448,0,0,1
19,48,130,10701,1,0,1
67,70,199,9635,1,0,1
21,55,151,15465,0,0,1
63,79,224,21348,1,0,0
42,60,177,11606,0,0,1
2,45,84,14032,1,0,1
71,82,211,3907,1,0,0
72,72,240,18421,0,0,1
83,82,217,21462,0,0,1
53,63,166,4222,0,0,1
74,79,234,11955,1,0,0
8,39,117,20889,0,0,1
14,56,136,2982,1,0,1
49,61,199,7139,1,0,1
16,50,144,4699,0,0,1
68,79,200,7048,0,0,1
93,76,266,6124,1,0,0
20,46,107,17164,1,0,1
18,61,117,10825,1,0,1
48,58,188,2856,0,0,1
38,61,152,18905,1,0,1
59,75,177,7766,0,0,1
83,86,264,11304,1,0,0
9,51,101,17418,1,0,1
39,66,177,8807,0,0,1
64,73,185,16387,0,0,1
12,44,136,23048,0,0,0
52,57,198,7946,0,0,1
65,62,207,14150,0,0,1
50,67,195,8821,0,0,1
89,81,249,4031,1,0,0
90,90,251,9364,1,0,0
41,59,172,14196,0,0,1
13,52,108,7797,0,0,1
27,51,160,15674,0,0,1
46,63,172,14406,0,0,1
19,61,130,7248,0,0,1
49,64,197,7009,0,0,1
21,55,150,16996,0,0,1
66,73,196,18764,0,0,1
36,55,141,13988,0,0,1
8,54,128,10029,0,0,1
5,42,94,8820,1,0,1
51,61,197,11046,0,0,1
53,57,199,21219,0,0,1
45,64,190,11589,0,0,1
60,65,181,18826,1,0,1
36,66,170,6630,1,0,1
73,67,204,6905,1,0,1
70,70,222,5175,1,0,1
78,69,244,3283,0,0,1
36,66,177,22103,1,0,0
100,88,254,6865,0,0,1
73,80,231,20225,1,0,0
55,60,186,6992,1,0,1
60,61,211,6596,0,0,1
42,62,183,18889,0,0,1
28,47,130,19744,0,0,1
7,55,95,14727,1,0,1
95,82,265,5148,1,0,0
29,51,151,15335,0,0,1
23,44,114,21477,1,0,1
89,88,264,13370,1,0,0
84,73,219,14246,1,0,1
74,78,236,4027,1,0,0
43,70,156,7408,0,0,1
55,68,209,3059,1,0,1
64,68,195,21692,0,0,1
80,82,251,9765,1,0,0
26,52,143,14822,0,0,1
50,68,180,6708,0,0,1
91,73,250,1772,0,0,1
69,71,198,7788,0,0,1
86,87,237,11431,1,0,0
30,55,158,15760,0,0,1
90,89,245,13385,0,0,1
67,75,227,1081,0,0,1
29,48,129,5984,1,0,1
0,37,113,21132,0,0,1
94,75,236,23799,0,0,0
53,59,161,22310,0,0,0
83,70,240,13945,0,0,1
96,92,270,1167,0,0,1
10,45,116,13736,0,0,1
25,63,160,23371,0,0,0
29,48,118,10100,0,0,1
66,66,191,9905,0,0,1
2,45,96,22758,1,0,0
4,36,104,10424,1,0,1
98,78,272,15991,1,0,0
74,83,235,11478,0,0,1
79,84,253,6283,1,0,0
49,67,177,20701,0,0,1
1,49,113,5328,1,0,1
27,63,159,9780,1,0,1
77,67,234,15342,1,0,1
33,64,153,11154,1,0,1
57,59,202,8506,1,0,1
28,63,152,11987,0,0,1
93,84,231,9649,1,0,0
79,74,243,18181,0,0,1
71,66,207,20114,0,0,1
41,69,160,12080,0,0,1
0,41,119,2112,0,0,1
78,80,231,15411,1,0,0
65,73,228,11151,0,0,1
60,62,202,5369,1,0,1
56,58,185,15065,0,0,1
11,57,137,10996,0,0,1
60,73,190,20753,1,0,1
74,67,228,11967,0,0,1
67,68,189,1885,0,0,1
58,61,198,8053,1,0,1
25,57,132,1480,1,0,1
80,84,221,3789,1,0,0
72,78,212,1117,1,0,0
79,66,208,1333,1,0,1
46,72,177,16597,0,0,1
5,50,104,19516,0,0,1
91,78,254,16746,0,0,1
72,65,221,18093,0,0,1
55,58,185,2256,1,0,1
41,54,180,13250,1,0,1
53,57,200,4874,0,0,1
38,60,177,16115,1,0,1
39,60,151,13639,1,0,1
9,45,91,17801,0,0,1
66,69,189,5357,0,0,1
18,58,148,15227,0,0,1
97,75,272,5189,0,0,1
59,70,201,7966,1,0,1
17,47,146,10018,1,0,1
4,40,97,17737,0,0,1
35,49,159,9902,1,0,1
36,58,173,20780,0,0,1
99,90,246,11222,0,0,1
55,76,188,9734,0,0,1
83,82,259,19831,1,0,0
32,60,155,21813,1,0,1
3,53,130,6799,0,0,1
7,43,99,14999,1,0,1
22,54,111,10114,1,0,1
12,52,100,23776,1,0,0
53,71,206,16319,0,0,1
8,49,106,7681,0,0,1
83,75,241,9898,1,0,1
42,51,159,9353,0,0,1
33,50,149,17395,1,0,1
62,66,212,14194,0,0,1
50,65,170,17364,0,0,1
39,65,148,5890,0,0,1
82,78,239,2527,1,0,0
25,62,159,19219,0,0,1
87,69,263,20646,1,0,1
41,59,147,5199,0,0,1
66,76,220,10081,0,0,1
61,75,225,20608,0,0,1
85,74,236,3978,1,0,1
87,77,221,4921,1,0,0
41,67,145,7668,1,0,1
56,70,212,21961,1,0,1
